wine_type,quality,quality_label,attributes,values
white wine,5,low quality,fixed acidity,6.6
red wine,5,low quality,fixed acidity,11.9
white wine,7,medium quality,fixed acidity,6.2
white wine,5,low quality,fixed acidity,7.0
white wine,6,medium quality,fixed acidity,8.1
white wine,6,medium quality,fixed acidity,6.2
red wine,8,high quality,fixed acidity,5.5
white wine,8,high quality,fixed acidity,7.0
red wine,5,low quality,fixed acidity,7.2
red wine,5,low quality,fixed acidity,7.4
red wine,6,medium quality,fixed acidity,7.2
red wine,5,low quality,fixed acidity,11.5
red wine,4,low quality,fixed acidity,6.8
white wine,6,medium quality,fixed acidity,8.4
white wine,5,low quality,fixed acidity,7.3
white wine,6,medium quality,fixed acidity,7.6
white wine,5,low quality,fixed acidity,6.8
white wine,7,medium quality,fixed acidity,6.4
red wine,7,medium quality,fixed acidity,7.2
white wine,5,low quality,fixed acidity,6.8
white wine,6,medium quality,fixed acidity,6.8
white wine,6,medium quality,fixed acidity,6.8
white wine,6,medium quality,fixed acidity,8.1
red wine,5,low quality,fixed acidity,7.3
white wine,6,medium quality,fixed acidity,7.3
white wine,6,medium quality,fixed acidity,7.2
red wine,5,low quality,fixed acidity,6.9
red wine,6,medium quality,fixed acidity,7.9
white wine,5,low quality,fixed acidity,8.5
red wine,5,low quality,fixed acidity,9.3
red wine,5,low quality,fixed acidity,8.4
white wine,5,low quality,fixed acidity,6.9
white wine,8,high quality,fixed acidity,7.2
white wine,7,medium quality,fixed acidity,7.6
white wine,4,low quality,fixed acidity,6.8
white wine,6,medium quality,fixed acidity,6.6
white wine,6,medium quality,fixed acidity,7.3
red wine,5,low quality,fixed acidity,7.4
white wine,6,medium quality,fixed acidity,6.4
white wine,6,medium quality,fixed acidity,6.4
white wine,6,medium quality,fixed acidity,6.0
white wine,6,medium quality,fixed acidity,6.2
white wine,6,medium quality,fixed acidity,7.3
red wine,6,medium quality,fixed acidity,7.6
white wine,5,low quality,fixed acidity,6.7
white wine,5,low quality,fixed acidity,7.8
white wine,6,medium quality,fixed acidity,6.2
red wine,7,medium quality,fixed acidity,15.6
white wine,6,medium quality,fixed acidity,6.2
white wine,5,low quality,fixed acidity,6.3
white wine,6,medium quality,fixed acidity,7.7
white wine,6,medium quality,fixed acidity,6.3
white wine,6,medium quality,fixed acidity,7.9
white wine,4,low quality,fixed acidity,7.6
white wine,7,medium quality,fixed acidity,6.9
red wine,6,medium quality,fixed acidity,9.1
white wine,6,medium quality,fixed acidity,6.6
white wine,7,medium quality,fixed acidity,6.4
white wine,5,low quality,fixed acidity,6.0
red wine,5,low quality,fixed acidity,7.8
white wine,6,medium quality,fixed acidity,8.4
white wine,6,medium quality,fixed acidity,7.3
white wine,6,medium quality,fixed acidity,8.3
red wine,5,low quality,fixed acidity,6.6
red wine,5,low quality,fixed acidity,7.3
white wine,7,medium quality,fixed acidity,7.9
white wine,6,medium quality,fixed acidity,6.9
white wine,6,medium quality,fixed acidity,6.8
white wine,5,low quality,fixed acidity,6.6
red wine,4,low quality,fixed acidity,8.1
white wine,5,low quality,fixed acidity,5.8
red wine,5,low quality,fixed acidity,7.5
white wine,6,medium quality,fixed acidity,7.9
white wine,7,medium quality,fixed acidity,6.3
red wine,6,medium quality,fixed acidity,7.1
red wine,5,low quality,fixed acidity,10.7
white wine,6,medium quality,fixed acidity,8.0
white wine,7,medium quality,fixed acidity,7.4
white wine,6,medium quality,fixed acidity,6.2
red wine,6,medium quality,fixed acidity,11.5
white wine,5,low quality,fixed acidity,7.5
white wine,6,medium quality,fixed acidity,7.6
red wine,6,medium quality,fixed acidity,7.9
white wine,6,medium quality,fixed acidity,6.1
red wine,5,low quality,fixed acidity,6.1
red wine,5,low quality,fixed acidity,7.3
white wine,6,medium quality,fixed acidity,7.5
white wine,7,medium quality,fixed acidity,6.6
white wine,5,low quality,fixed acidity,9.0
white wine,7,medium quality,fixed acidity,6.0
red wine,6,medium quality,fixed acidity,11.6
white wine,5,low quality,fixed acidity,6.5
white wine,6,medium quality,fixed acidity,7.8
red wine,6,medium quality,fixed acidity,8.0
red wine,5,low quality,fixed acidity,8.1
red wine,5,low quality,fixed acidity,8.7
white wine,6,medium quality,fixed acidity,9.0
red wine,6,medium quality,fixed acidity,8.2
red wine,6,medium quality,fixed acidity,11.3
white wine,5,low quality,fixed acidity,6.4
red wine,5,low quality,fixed acidity,6.3
white wine,5,low quality,fixed acidity,6.6
white wine,6,medium quality,fixed acidity,7.0
white wine,5,low quality,fixed acidity,7.3
white wine,6,medium quality,fixed acidity,5.9
red wine,5,low quality,fixed acidity,8.3
white wine,6,medium quality,fixed acidity,6.4
white wine,6,medium quality,fixed acidity,7.3
white wine,5,low quality,fixed acidity,6.9
white wine,7,medium quality,fixed acidity,8.0
white wine,8,high quality,fixed acidity,6.5
red wine,5,low quality,fixed acidity,6.2
red wine,6,medium quality,fixed acidity,7.1
white wine,5,low quality,fixed acidity,6.2
white wine,6,medium quality,fixed acidity,7.9
white wine,6,medium quality,fixed acidity,7.6
white wine,7,medium quality,fixed acidity,6.7
red wine,5,low quality,fixed acidity,8.6
white wine,6,medium quality,fixed acidity,6.4
red wine,7,medium quality,fixed acidity,8.2
white wine,5,low quality,fixed acidity,5.9
white wine,7,medium quality,fixed acidity,6.8
red wine,5,low quality,fixed acidity,8.3
white wine,5,low quality,fixed acidity,6.7
red wine,7,medium quality,fixed acidity,7.9
white wine,6,medium quality,fixed acidity,7.7
white wine,5,low quality,fixed acidity,7.2
white wine,5,low quality,fixed acidity,6.5
white wine,7,medium quality,fixed acidity,6.8
red wine,5,low quality,fixed acidity,7.1
white wine,6,medium quality,fixed acidity,5.6
white wine,7,medium quality,fixed acidity,6.5
white wine,6,medium quality,fixed acidity,6.9
white wine,7,medium quality,fixed acidity,6.9
white wine,7,medium quality,fixed acidity,6.6
red wine,5,low quality,fixed acidity,8.2
white wine,5,low quality,fixed acidity,6.5
red wine,6,medium quality,fixed acidity,11.3
white wine,5,low quality,fixed acidity,8.9
white wine,7,medium quality,fixed acidity,6.4
white wine,6,medium quality,fixed acidity,6.7
red wine,6,medium quality,fixed acidity,12.8
white wine,5,low quality,fixed acidity,7.1
white wine,6,medium quality,fixed acidity,5.8
white wine,7,medium quality,fixed acidity,7.2
white wine,5,low quality,fixed acidity,6.8
white wine,6,medium quality,fixed acidity,5.9
white wine,6,medium quality,fixed acidity,7.4
white wine,6,medium quality,fixed acidity,7.2
red wine,6,medium quality,fixed acidity,9.3
red wine,5,low quality,fixed acidity,6.7
white wine,6,medium quality,fixed acidity,7.2
white wine,5,low quality,fixed acidity,6.9
white wine,4,low quality,fixed acidity,6.0
red wine,5,low quality,fixed acidity,8.4
white wine,7,medium quality,fixed acidity,7.5
white wine,5,low quality,fixed acidity,7.5
white wine,6,medium quality,fixed acidity,6.5
white wine,6,medium quality,fixed acidity,5.9
white wine,8,high quality,fixed acidity,6.8
white wine,6,medium quality,fixed acidity,3.8
white wine,6,medium quality,fixed acidity,7.0
white wine,6,medium quality,fixed acidity,6.5
white wine,5,low quality,fixed acidity,7.7
red wine,5,low quality,fixed acidity,8.6
white wine,6,medium quality,fixed acidity,6.3
white wine,8,high quality,fixed acidity,6.2
red wine,4,low quality,fixed acidity,8.4
white wine,6,medium quality,fixed acidity,5.8
white wine,6,medium quality,fixed acidity,6.2
white wine,7,medium quality,fixed acidity,7.4
white wine,6,medium quality,fixed acidity,7.3
red wine,6,medium quality,fixed acidity,6.9
white wine,6,medium quality,fixed acidity,8.4
white wine,6,medium quality,fixed acidity,6.6
white wine,6,medium quality,fixed acidity,6.5
white wine,8,high quality,fixed acidity,5.6
white wine,5,low quality,fixed acidity,7.8
white wine,6,medium quality,fixed acidity,8.2
white wine,7,medium quality,fixed acidity,6.9
white wine,5,low quality,fixed acidity,6.4
white wine,7,medium quality,fixed acidity,7.4
white wine,7,medium quality,fixed acidity,6.5
red wine,6,medium quality,fixed acidity,10.8
white wine,5,low quality,fixed acidity,8.2
red wine,5,low quality,fixed acidity,7.6
white wine,5,low quality,fixed acidity,6.8
white wine,6,medium quality,fixed acidity,7.3
white wine,5,low quality,fixed acidity,6.9
red wine,5,low quality,fixed acidity,7.1
white wine,6,medium quality,fixed acidity,7.4
white wine,7,medium quality,fixed acidity,6.9
white wine,6,medium quality,fixed acidity,7.4
white wine,6,medium quality,fixed acidity,6.2
white wine,5,low quality,fixed acidity,7.1
red wine,6,medium quality,fixed acidity,8.3
white wine,6,medium quality,fixed acidity,6.9
white wine,6,medium quality,fixed acidity,7.0
white wine,6,medium quality,fixed acidity,8.4
white wine,7,medium quality,fixed acidity,5.6
white wine,6,medium quality,fixed acidity,6.8
red wine,5,low quality,fixed acidity,11.7
white wine,6,medium quality,fixed acidity,8.3
red wine,5,low quality,fixed acidity,8.2
white wine,6,medium quality,fixed acidity,6.7
white wine,5,low quality,fixed acidity,7.7
white wine,7,medium quality,fixed acidity,7.8
white wine,6,medium quality,fixed acidity,7.2
white wine,7,medium quality,fixed acidity,7.1
white wine,6,medium quality,fixed acidity,7.7
red wine,5,low quality,fixed acidity,6.2
white wine,6,medium quality,fixed acidity,6.5
white wine,5,low quality,fixed acidity,6.5
white wine,6,medium quality,fixed acidity,6.8
white wine,7,medium quality,fixed acidity,6.2
white wine,5,low quality,fixed acidity,9.8
red wine,6,medium quality,fixed acidity,6.8
white wine,5,low quality,fixed acidity,7.0
white wine,5,low quality,fixed acidity,6.4
white wine,6,medium quality,fixed acidity,5.6
red wine,4,low quality,fixed acidity,10.2
white wine,6,medium quality,fixed acidity,6.2
white wine,6,medium quality,fixed acidity,6.2
white wine,5,low quality,fixed acidity,6.1
white wine,5,low quality,fixed acidity,7.1
white wine,6,medium quality,fixed acidity,6.1
white wine,6,medium quality,fixed acidity,6.6
white wine,5,low quality,fixed acidity,7.5
white wine,5,low quality,fixed acidity,7.2
white wine,8,high quality,fixed acidity,7.3
white wine,5,low quality,fixed acidity,5.8
white wine,7,medium quality,fixed acidity,6.9
white wine,5,low quality,fixed acidity,6.4
white wine,6,medium quality,fixed acidity,6.6
white wine,4,low quality,fixed acidity,9.4
white wine,5,low quality,fixed acidity,8.4
white wine,5,low quality,fixed acidity,7.7
white wine,5,low quality,fixed acidity,6.0
white wine,6,medium quality,fixed acidity,6.6
red wine,5,low quality,fixed acidity,7.6
white wine,6,medium quality,fixed acidity,5.7
red wine,5,low quality,fixed acidity,6.8
white wine,5,low quality,fixed acidity,7.0
white wine,7,medium quality,fixed acidity,5.9
white wine,6,medium quality,fixed acidity,8.3
white wine,6,medium quality,fixed acidity,7.0
white wine,7,medium quality,fixed acidity,7.2
white wine,6,medium quality,fixed acidity,7.8
white wine,7,medium quality,fixed acidity,5.9
white wine,5,low quality,fixed acidity,7.8
white wine,6,medium quality,fixed acidity,6.6
white wine,6,medium quality,fixed acidity,6.1
white wine,6,medium quality,fixed acidity,7.5
white wine,4,low quality,fixed acidity,6.4
red wine,5,low quality,fixed acidity,7.3
white wine,5,low quality,fixed acidity,8.2
red wine,6,medium quality,fixed acidity,9.8
white wine,5,low quality,fixed acidity,7.5
white wine,6,medium quality,fixed acidity,6.9
white wine,4,low quality,fixed acidity,6.8
red wine,5,low quality,fixed acidity,8.6
red wine,5,low quality,fixed acidity,6.9
white wine,7,medium quality,fixed acidity,7.7
red wine,5,low quality,fixed acidity,8.8
red wine,6,medium quality,fixed acidity,8.8
white wine,5,low quality,fixed acidity,8.7
white wine,5,low quality,fixed acidity,8.6
white wine,5,low quality,fixed acidity,7.1
red wine,5,low quality,fixed acidity,9.6
white wine,6,medium quality,fixed acidity,5.6
white wine,6,medium quality,fixed acidity,6.7
white wine,5,low quality,fixed acidity,6.6
white wine,6,medium quality,fixed acidity,8.7
white wine,5,low quality,fixed acidity,6.9
white wine,6,medium quality,fixed acidity,7.15
white wine,4,low quality,fixed acidity,7.0
red wine,5,low quality,fixed acidity,6.7
red wine,5,low quality,fixed acidity,8.6
white wine,6,medium quality,fixed acidity,7.3
red wine,5,low quality,fixed acidity,8.8
white wine,7,medium quality,fixed acidity,6.5
red wine,5,low quality,fixed acidity,8.8
white wine,5,low quality,fixed acidity,6.6
white wine,6,medium quality,fixed acidity,7.1
white wine,6,medium quality,fixed acidity,7.5
white wine,6,medium quality,fixed acidity,5.1
red wine,6,medium quality,fixed acidity,6.2
white wine,6,medium quality,fixed acidity,8.3
red wine,4,low quality,fixed acidity,10.1
white wine,5,low quality,fixed acidity,6.7
red wine,7,medium quality,fixed acidity,8.7
red wine,5,low quality,fixed acidity,7.5
red wine,4,low quality,fixed acidity,7.5
white wine,7,medium quality,fixed acidity,6.0
white wine,7,medium quality,fixed acidity,5.9
white wine,6,medium quality,fixed acidity,5.8
white wine,6,medium quality,fixed acidity,6.2
white wine,5,low quality,fixed acidity,6.4
white wine,6,medium quality,fixed acidity,10.0
white wine,5,low quality,fixed acidity,7.0
red wine,5,low quality,fixed acidity,13.0
white wine,6,medium quality,fixed acidity,6.8
red wine,5,low quality,fixed acidity,7.3
white wine,7,medium quality,fixed acidity,8.7
white wine,6,medium quality,fixed acidity,7.3
white wine,6,medium quality,fixed acidity,6.1
white wine,6,medium quality,fixed acidity,7.4
white wine,6,medium quality,fixed acidity,7.0
red wine,5,low quality,fixed acidity,8.0
red wine,5,low quality,fixed acidity,9.0
white wine,7,medium quality,fixed acidity,5.8
white wine,7,medium quality,fixed acidity,6.6
white wine,4,low quality,fixed acidity,7.5
white wine,7,medium quality,fixed acidity,6.4
white wine,7,medium quality,fixed acidity,8.0
white wine,7,medium quality,fixed acidity,7.0
white wine,6,medium quality,fixed acidity,5.9
white wine,7,medium quality,fixed acidity,6.7
red wine,5,low quality,fixed acidity,9.9
white wine,6,medium quality,fixed acidity,7.3
white wine,5,low quality,fixed acidity,7.1
white wine,6,medium quality,fixed acidity,7.0
white wine,7,medium quality,fixed acidity,7.3
white wine,7,medium quality,fixed acidity,7.0
white wine,7,medium quality,fixed acidity,5.8
red wine,6,medium quality,fixed acidity,6.4
red wine,5,low quality,fixed acidity,7.9
white wine,6,medium quality,fixed acidity,7.9
red wine,6,medium quality,fixed acidity,7.7
white wine,4,low quality,fixed acidity,6.2
white wine,5,low quality,fixed acidity,6.2
red wine,5,low quality,fixed acidity,6.8
white wine,5,low quality,fixed acidity,6.0
white wine,6,medium quality,fixed acidity,6.5
white wine,5,low quality,fixed acidity,8.6
white wine,6,medium quality,fixed acidity,6.5
white wine,8,high quality,fixed acidity,5.2
white wine,6,medium quality,fixed acidity,6.6
red wine,6,medium quality,fixed acidity,10.0
white wine,6,medium quality,fixed acidity,5.9
white wine,6,medium quality,fixed acidity,6.6
white wine,6,medium quality,fixed acidity,7.5
white wine,5,low quality,fixed acidity,7.1
red wine,6,medium quality,fixed acidity,8.9
white wine,6,medium quality,fixed acidity,6.8
white wine,6,medium quality,fixed acidity,8.0
white wine,6,medium quality,fixed acidity,5.8
red wine,5,low quality,fixed acidity,7.3
white wine,6,medium quality,fixed acidity,6.7
red wine,6,medium quality,fixed acidity,8.1
red wine,5,low quality,fixed acidity,8.1
red wine,6,medium quality,fixed acidity,6.4
white wine,5,low quality,fixed acidity,6.9
white wine,5,low quality,fixed acidity,8.2
white wine,5,low quality,fixed acidity,6.7
red wine,7,medium quality,fixed acidity,9.5
white wine,5,low quality,fixed acidity,7.5
white wine,6,medium quality,fixed acidity,6.8
white wine,6,medium quality,fixed acidity,6.3
red wine,7,medium quality,fixed acidity,10.2
red wine,7,medium quality,fixed acidity,7.3
white wine,6,medium quality,fixed acidity,8.1
white wine,6,medium quality,fixed acidity,8.1
white wine,5,low quality,fixed acidity,8.7
white wine,6,medium quality,fixed acidity,7.9
white wine,5,low quality,fixed acidity,7.2
red wine,6,medium quality,fixed acidity,7.4
white wine,5,low quality,fixed acidity,6.1
white wine,6,medium quality,fixed acidity,6.9
white wine,6,medium quality,fixed acidity,6.4
white wine,6,medium quality,fixed acidity,6.6
white wine,5,low quality,fixed acidity,8.2
red wine,6,medium quality,fixed acidity,11.6
white wine,5,low quality,fixed acidity,7.2
white wine,4,low quality,fixed acidity,9.2
white wine,5,low quality,fixed acidity,6.4
white wine,6,medium quality,fixed acidity,7.3
white wine,6,medium quality,fixed acidity,8.5
white wine,7,medium quality,fixed acidity,7.6
white wine,6,medium quality,fixed acidity,6.6
red wine,5,low quality,fixed acidity,7.9
white wine,6,medium quality,fixed acidity,7.2
white wine,7,medium quality,fixed acidity,5.8
red wine,6,medium quality,fixed acidity,6.4
white wine,7,medium quality,fixed acidity,6.8
white wine,5,low quality,fixed acidity,9.3
red wine,5,low quality,fixed acidity,6.6
red wine,6,medium quality,fixed acidity,9.1
white wine,5,low quality,fixed acidity,7.3
red wine,6,medium quality,fixed acidity,13.0
white wine,6,medium quality,fixed acidity,7.3
white wine,6,medium quality,fixed acidity,6.3
red wine,4,low quality,fixed acidity,8.3
white wine,5,low quality,fixed acidity,6.7
white wine,6,medium quality,fixed acidity,6.4
red wine,6,medium quality,fixed acidity,7.6
red wine,5,low quality,fixed acidity,6.9
white wine,6,medium quality,fixed acidity,6.0
white wine,5,low quality,fixed acidity,7.4
white wine,6,medium quality,fixed acidity,6.1
white wine,5,low quality,fixed acidity,5.7
white wine,6,medium quality,fixed acidity,6.6
red wine,3,low quality,fixed acidity,6.7
white wine,5,low quality,fixed acidity,6.7
white wine,5,low quality,fixed acidity,6.6
white wine,5,low quality,fixed acidity,7.3
red wine,5,low quality,fixed acidity,10.7
white wine,5,low quality,fixed acidity,7.0
white wine,6,medium quality,fixed acidity,6.2
white wine,6,medium quality,fixed acidity,8.1
white wine,6,medium quality,fixed acidity,7.4
white wine,6,medium quality,fixed acidity,7.3
white wine,5,low quality,fixed acidity,7.7
red wine,5,low quality,fixed acidity,8.0
white wine,5,low quality,fixed acidity,6.7
red wine,5,low quality,fixed acidity,10.2
white wine,7,medium quality,fixed acidity,6.8
red wine,5,low quality,fixed acidity,9.9
white wine,9,high quality,fixed acidity,7.1
white wine,6,medium quality,fixed acidity,6.5
red wine,6,medium quality,fixed acidity,8.8
red wine,4,low quality,fixed acidity,7.3
white wine,5,low quality,fixed acidity,6.8
white wine,5,low quality,fixed acidity,7.3
red wine,6,medium quality,fixed acidity,10.3
white wine,8,high quality,fixed acidity,8.2
white wine,6,medium quality,fixed acidity,7.8
white wine,7,medium quality,fixed acidity,8.1
white wine,6,medium quality,fixed acidity,6.4
white wine,5,low quality,fixed acidity,6.5
red wine,7,medium quality,fixed acidity,9.6
white wine,6,medium quality,fixed acidity,8.5
red wine,5,low quality,fixed acidity,9.4
white wine,6,medium quality,fixed acidity,7.9
red wine,5,low quality,fixed acidity,7.9
white wine,6,medium quality,fixed acidity,6.4
white wine,5,low quality,fixed acidity,6.9
red wine,6,medium quality,fixed acidity,10.6
white wine,6,medium quality,fixed acidity,7.5
white wine,6,medium quality,fixed acidity,7.8
white wine,6,medium quality,fixed acidity,7.0
white wine,5,low quality,fixed acidity,6.7
white wine,6,medium quality,fixed acidity,7.2
red wine,7,medium quality,fixed acidity,8.2
white wine,7,medium quality,fixed acidity,6.7
red wine,5,low quality,fixed acidity,7.1
white wine,5,low quality,fixed acidity,7.1
white wine,5,low quality,fixed acidity,5.8
white wine,7,medium quality,fixed acidity,6.4
white wine,6,medium quality,fixed acidity,6.9
white wine,8,high quality,fixed acidity,6.2
white wine,5,low quality,fixed acidity,6.7
white wine,6,medium quality,fixed acidity,7.2
red wine,7,medium quality,fixed acidity,7.0
white wine,6,medium quality,fixed acidity,7.4
red wine,6,medium quality,fixed acidity,9.7
white wine,6,medium quality,fixed acidity,7.5
white wine,6,medium quality,fixed acidity,6.3
red wine,5,low quality,fixed acidity,7.1
white wine,6,medium quality,fixed acidity,7.8
white wine,6,medium quality,fixed acidity,5.2
white wine,6,medium quality,fixed acidity,7.8
white wine,5,low quality,fixed acidity,7.2
red wine,6,medium quality,fixed acidity,6.7
white wine,6,medium quality,fixed acidity,5.7
red wine,8,high quality,fixed acidity,12.6
white wine,8,high quality,fixed acidity,8.1
white wine,5,low quality,fixed acidity,6.5
white wine,7,medium quality,fixed acidity,6.5
white wine,5,low quality,fixed acidity,7.5
white wine,6,medium quality,fixed acidity,7.3
red wine,6,medium quality,fixed acidity,8.6
red wine,6,medium quality,fixed acidity,7.5
red wine,6,medium quality,fixed acidity,13.2
red wine,6,medium quality,fixed acidity,7.8
white wine,6,medium quality,fixed acidity,6.5
red wine,6,medium quality,fixed acidity,7.5
red wine,6,medium quality,fixed acidity,5.0
white wine,7,medium quality,fixed acidity,7.3
